#TITLE,KEY,VALUE,SWMH
e_britannia,e_britannia,,Britannia
e_britannia,e_britannia_adj,,British
e_britannia,anglonorse,,Bretland
e_britannia,e_britannia_adj_anglonorse,,Bryttanisc
e_britannia,arpitan,,Bretaigne
e_britannia,e_britannia_adj_arpitan,,Bretaigne
e_britannia,breton,,Brythain
e_britannia,e_britannia_adj_breton,,Brythainan
e_britannia,cornish,,Brythain
e_britannia,e_britannia_adj_cornish,,Brythainan
e_britannia,cumbric,,Prydein
e_britannia,e_britannia_adj_cumbric,,Prydeinan
e_britannia,danish,,Bretland
e_britannia,e_britannia_adj_danish,,Bretr
e_britannia,frankish,,Bretaigne
e_britannia,e_britannia_adj_frankish,,Bretaigne
e_britannia,gothic,,Bretland
e_britannia,e_britannia_adj_gothic,,Bretr
e_britannia,greek,,Albion
e_britannia,e_britannia_adj_icelandic,,Bretr
e_britannia,irish,,Cruithn
e_britannia,e_britannia_adj_irish,,Cruithnan
e_britannia,norman,,Bretaigne
e_britannia,e_britannia_adj_norman,,Bretaigne
e_britannia,norse,,Bretland
e_britannia,e_britannia_adj_norse,,Bretr
e_britannia,norsegaelic,,Cruithn
e_britannia,e_britannia_adj_norsegaelic,,Cruithnan
e_britannia,norwegian,,Bretland
e_britannia,e_britannia_adj_norwegian,,Bretr
e_britannia,saxon,,Bryttania
e_britannia,e_britannia_adj_saxon,,Bryttanisc
e_britannia,scottish,,Cruithn
e_britannia,e_britannia_adj_scottish,,Cruithnan
e_britannia,swedish,,Bretland
e_britannia,e_britannia_adj_swedish,,Bretr
e_britannia,welsh,,Prydein
e_britannia,e_britannia_adj_welsh,,Prydeinan
k_england,k_england,,England
k_england,k_england_adj,,English
k_england,anglonorse,,Englaland
k_england,k_england_adj_anglonorse,,Englisc
k_england,breton,,Lloegyr
k_england,k_england_adj_breton,,Lloegyran
k_england,cornish,,Lloegyr
k_england,k_england_adj_cornish,,Lloegyran
k_england,cumbric,,Lloegyr
k_england,k_england_adj_cumbric,,Lloegyran
k_england,danish,,Ænglandi
k_england,k_england_adj_danish,,Ænglandr
k_england,english,,Engelond
k_england,frankish,,Angleterre
k_england,gothic,,Ænglandi
k_england,k_england_adj_gothic,,Ænglandr
k_england,greek,,Brittannia
k_england,k_england_adj_icelandic,,Ænglandr
k_england,irish,,Lloegyr
k_england,k_england_adj_irish,,Lloegyran
k_england,norman,,Angliétèrre
k_england,norse,,Ænglandi
k_england,norsegaelic,,Ænglandi
k_england,k_england_adj_norsegaelic,,Ænglandr
k_england,norwegian,,Ænglandi
k_england,k_england_adj_norwegian,,Ænglandr
k_england,roman,,Britanniae
k_england,saxon,,Englaland
k_england,k_england_adj_saxon,,Engelisc
k_england,scottish,,Lloegyr
k_england,k_england_adj_scottish,,Lloegyran
k_england,swedish,,Ænglandi
k_england,welsh,,Lloegyr
k_england,k_england_adj_welsh,,Lloegyran
d_somerset,d_somerset,,Wessex
d_somerset,d_somerset_adj,,Wessexish
d_somerset,anglonorse,,Westseaxe
d_somerset,d_somerset_adj_anglonorse,,Westseaxna
d_somerset,breton,,Caer Gwynntguic
d_somerset,d_somerset_adj_breton,,Gwynntguican
d_somerset,cornish,,Caer Gwynntguic
d_somerset,d_somerset_adj_cornish,,Gwynntguican
d_somerset,cumbric,,Caer Gwynntguic
d_somerset,d_somerset_adj_cumbric,,Gwynntguican
d_somerset,danish,,Westseaxe
d_somerset,d_somerset_adj_danish,,Vestseaxr
d_somerset,english,,Somerset
d_somerset,d_somerset_adj_english,,Somerset
d_somerset,gothic,,Westseaxe
d_somerset,d_somerset_adj_gothic,,Vestseaxr
d_somerset,icelandic,,Westseaxe
d_somerset,d_somerset_adj_icelandic,,Vestseaxr
d_somerset,irish,,Caer Gwynntguic
d_somerset,d_somerset_adj_irish,,Gwynntguican
d_somerset,d_somerset_adj_norman,,Somersetian
d_somerset,norse,,Westseaxe
d_somerset,d_somerset_adj_norse,,Vestseaxr
d_somerset,norsegaelic,,Westseaxe
d_somerset,d_somerset_adj_norsegaelic,,Vestseaxr
d_somerset,norwegian,,Westseaxe
d_somerset,d_somerset_adj_norwegian,,Vestseaxr
d_somerset,saxon,,Westseaxe
d_somerset,d_somerset_adj_saxon,,Westseaxna
d_somerset,scottish,,Caer Gwynntguic
d_somerset,d_somerset_adj_scottish,,Gwynntguican
d_somerset,swedish,,Westseaxe
d_somerset,d_somerset_adj_swedish,,Vestseaxr
d_somerset,welsh,,Caer Gwynntguic
d_somerset,d_somerset_adj_welsh,,Gwynntguican
c_winchester,PROV26,,Winchester
c_winchester,c_winchester,,
c_winchester,c_winchester_adj,,Hamptonshireish
c_winchester,anglonorse,,Wintanceaster
c_winchester,breton,,Caer Gwynntguic
c_winchester,c_winchester_adj_breton,,Gwynntguican
c_winchester,cornish,,Caer Gwynntguic
c_winchester,c_winchester_adj_cornish,,Gwynntguican
c_winchester,cumbric,,Caer Gwynntguic
c_winchester,c_winchester_adj_cumbric,,Gwynntguican
c_winchester,danish,,Hamtun
c_winchester,c_winchester_adj_danish,,Hamtunr
c_winchester,english,,Winchester
c_winchester,c_winchester_adj_english,,Winchestian
c_winchester,gothic,,Hamtun
c_winchester,c_winchester_adj_gothic,,Hamtunr
c_winchester,icelandic,,Hamtun
c_winchester,c_winchester_adj_icelandic,,Hamtunr
c_winchester,irish,,Caer Gwynntguic
c_winchester,c_winchester_adj_irish,,Gwynntguican
c_winchester,norman,,Ouînchêtre
c_winchester,c_winchester_adj_norman,,Ouînchêtre
c_winchester,norse,,Hamtun
c_winchester,c_winchester_adj_norse,,Hamtunr
c_winchester,norsegaelic,,Hamtun
c_winchester,c_winchester_adj_norsegaelic,,Hamtunr
c_winchester,norwegian,,Hamtun
c_winchester,c_winchester_adj_norwegian,,Hamtunr
c_winchester,saxon,,Wintanceaster
c_winchester,c_winchester_adj_saxon,,Hamtunisc
c_winchester,scottish,,Caer Gwynntguic
c_winchester,c_winchester_adj_scottish,,Gwynntguican
c_winchester,swedish,,Hamtun
c_winchester,c_winchester_adj_swedish,,Hamtunr
c_winchester,welsh,,Caer Gwynntguic
c_winchester,c_winchester_adj_welsh,,Gwynntguican
b_southampton,b_southampton,,Hampton
b_southampton,b_southampton_adj,,
b_southampton,anglonorse,,Hamwic
b_southampton,danish,,Hamvik
b_southampton,gothic,,Hamvik
